,x,y,psi,curvature
107,-750.6199590848671,-580.3237203200598,-0.49488138387255026,0.003438040471711417
108,-750.5319479078062,-580.3711988111598,-0.49455389564965346,0.0031117251656373897
109,-750.4439216562956,-580.4186500775537,-0.4942590386110967,0.0027854167060343007
110,-750.3558819174,-580.466076970536,-0.4939968120974991,0.0024591145718904045
111,-750.267830278184,-580.5134823414015,-0.4937672155061144,0.0021328181532538613
112,-750.1797683257118,-580.5608690414447,-0.4935702482992047,0.0018065267616573972
113,-750.0916976470482,-580.6082399219604,-0.49340591001136963,0.0014802396405404765
114,-750.0036198292574,-580.6555978342429,-0.49327420025583585,0.0011539559756693245
115,-749.9155364594042,-580.7029456295872,-0.49317511872970293,0.0008276749055549699
116,-749.8274491245529,-580.7502861592878,-0.49310866521814783,0.0005013955318696583
117,-749.7393594117679,-580.7976222746391,-0.4930748395975886,0.00017511692986201652
118,-749.6512689081137,-580.844956826936,-0.4930736418378053,-0.00015116184122873524
119,-749.563179200655,-580.892292667473,-0.493105072003021,-0.00047744172775900784
120,-749.4750918764563,-580.9396326475448,-0.49316913025194004,-0.0008037236712671658
121,-749.3870085225817,-580.9869796184458,-0.4932658168367458,-0.00113000859805951
122,-749.2989307260962,-581.0343364314709,-0.49339513210105673,-0.0014562974087954622
123,-749.2108600740639,-581.0817059379146,-0.49355707647684116,-0.0017825909680716432
124,-749.1227981535494,-581.1290909890714,-0.4937516504802895,-0.0021088900940043347
125,-749.0347465516173,-581.1764944362363,-0.49397885470664593,-0.00243519554781007
126,-748.946706855332,-581.2239191307034,-0.4942386898239968,-0.002761508023383984
127,-748.858680651758,-581.2713679237677,-0.4945311565660179,-0.0030878281368756505
128,-748.7706695279597,-581.3188436667239,-0.4948562557236781,-0.0034141564162622467
129,-748.6826750710019,-581.3663492108661,-0.49521398813590056,-0.003740493290918801
130,-748.5946988679486,-581.4138874074894,-0.49560435467918157,-0.004066839081185487
131,-748.5067425058647,-581.4614611078883,-0.4960273562561646,-0.004393193987931994
132,-748.4188075718147,-581.5090731633574,-0.4964829937831719,-0.004719558082118939
133,-748.3308956528626,-581.5567264251913,-0.496971268176691,-0.005045931294356677
134,-748.2430083360734,-581.6044237446847,-0.497492180338818,-0.005372313404461613
135,-748.1551472085114,-581.652167973132,-0.49804573114165557,-0.005698704031010513
136,-748.0673138572411,-581.6999619618281,-0.498631921410667,-0.006025102620893341
137,-747.979509869327,-581.7478085620675,-0.4992507519069845,-0.006351508438865165
138,-747.8917368318336,-581.7957106251448,-0.49990222330867423,-0.006677920557098102
139,-747.8039963318254,-581.8436710023548,-0.5005863361909547,-0.0070043378447340165
140,-747.7162899563666,-581.8916925449918,-0.5013030910053722,-0.007330758957439244
141,-747.6286192925222,-581.9397781043506,-0.5020524880579302,-0.00765718232696247
142,-747.5409859273564,-581.987930531726,-0.502834527486177,-0.007983606150697264
143,-747.4533914479337,-582.0361526784121,-0.5036492092352473,-0.008310028381250842
144,-747.3658374413186,-582.0844473957042,-0.5044965330328629,-0.008636446716020848
145,-747.2783254945757,-582.1328175348964,-0.5053764983632911,-0.008962858586782143
146,-747.1908571947694,-582.1812659472835,-0.5062891044402623,-0.009289261149285813
147,-747.103434128964,-582.2297954841603,-0.5072343501788475,-0.009615651272872795
148,-747.0160578842243,-582.2784089968211,-0.5082122341662996,-0.009942025530104754
149,-746.9287300476145,-582.3271093365606,-0.5092227546318572,-0.010268380186415071
150,-746.8414522061995,-582.3758993546737,-0.5102659094155154,-0.010594711189783033
151,-746.7542259470433,-582.4247819024547,-0.5113416959357655,-0.010921014160434572
152,-746.6670528572109,-582.4737598311983,-0.5124501111563055,-0.011247284380573142
153,-746.5799345237665,-582.5228359921992,-0.5135911515517262,-0.011573516784144628
154,-746.4928725337744,-582.572013236752,-0.5147648130721748,-0.011899705946640356
155,-746.4058684742994,-582.6212944161513,-0.5159710911070019,-0.012225846074942611
156,-746.3189239324057,-582.6706823816918,-0.5172099804473944,-0.012551930997217405
157,-746.2320404951582,-582.7201799846678,-0.5184814752480007,-0.012877954152859365
158,-746.1452197496211,-582.7697900763743,-0.5197855689875535,-0.01320390858249414
159,-746.0584632828591,-582.8195155081058,-0.5211222544284951,-0.013529786918043732
160,-745.9717726819363,-582.869359131157,-0.5224915235756137,-0.013855581372860762
161,-745.8851495339176,-582.9193237968224,-0.5238933676336961,-0.014181283731937815
162,-745.7985954258673,-582.9694123563966,-0.525327776964205,-0.014506885342198295
163,-745.7121119448498,-583.0196276611742,-0.526794741040991,-0.014832377102875818
164,-745.6257006779298,-583.0699725624501,-0.5282942484050465,-0.015157749455989057
165,-745.5393632121717,-583.1204499115186,-0.5298262866183114,-0.015482992376919691
166,-745.4531011346398,-583.1710625596744,-0.5313908422165444,-0.015808095365101343
167,-745.3669160323991,-583.2218133582122,-0.5329879006612657,-0.016133047434827363
168,-745.2808094925134,-583.2727051584266,-0.5346174462907901,-0.016457837106186493
169,-745.1947831020478,-583.3237408116122,-0.5362794622703582,-0.016782452396134673
170,-745.1088384480664,-583.3749231690637,-0.537973930541383,-0.017106880809712666
171,-745.0229771176339,-583.4262550820755,-0.5397008317698261,-0.01743110933141887
172,-744.9372006978145,-583.4777394019425,-0.5414601452937179,-0.01775512441674711
173,-744.8515107756733,-583.5293789799592,-0.5432518490698424,-0.018078911983899874
174,-744.765908938274,-583.5811766674201,-0.5450759196196006,-0.01840245740568746
175,-744.6803967726818,-583.63313531562,-0.5469323319740748,-0.018725745501623915
